date,frequency
15/03/2011,0
16/03/2011,0
17/03/2011,2
18/03/2011,0
19/03/2011,1
20/03/2011,0
21/03/2011,1
22/03/2011,0
23/03/2011,0
24/03/2011,0
25/03/2011,0
26/03/2011,1
27/03/2011,1
28/03/2011,0
29/03/2011,0
30/03/2011,0
31/03/2011,0
1/04/2011,0
2/04/2011,0
3/04/2011,0
4/04/2011,1
5/04/2011,0
6/04/2011,0
7/04/2011,0
8/04/2011,0
9/04/2011,0
10/04/2011,0
11/04/2011,0
12/04/2011,0
13/04/2011,0
14/04/2011,0
15/04/2011,0
16/04/2011,0
17/04/2011,0
18/04/2011,0
19/04/2011,0
20/04/2011,0
21/04/2011,0
22/04/2011,0
23/04/2011,0
24/04/2011,0
25/04/2011,0
26/04/2011,0
27/04/2011,0
28/04/2011,0
29/04/2011,0
30/04/2011,0
1/05/2011,0
2/05/2011,0
3/05/2011,0
4/05/2011,0
5/05/2011,0
6/05/2011,0
7/05/2011,0
8/05/2011,0
9/05/2011,0
10/05/2011,0
11/05/2011,0
12/05/2011,0
13/05/2011,0
14/05/2011,1
15/05/2011,0
16/05/2011,0
17/05/2011,0
18/05/2011,0
19/05/2011,1
20/05/2011,0
21/05/2011,1
22/05/2011,0
23/05/2011,1
24/05/2011,1
25/05/2011,0
26/05/2011,0
27/05/2011,0
28/05/2011,0
29/05/2011,0
30/05/2011,1
31/05/2011,0
1/06/2011,0
2/06/2011,0
3/06/2011,0
4/06/2011,1
5/06/2011,0
6/06/2011,0
7/06/2011,0
8/06/2011,1
9/06/2011,0
10/06/2011,0
11/06/2011,1
12/06/2011,0
13/06/2011,1
14/06/2011,0
15/06/2011,1
16/06/2011,0
17/06/2011,2
18/06/2011,1
19/06/2011,2
20/06/2011,1
21/06/2011,0
22/06/2011,0
23/06/2011,0
24/06/2011,1
25/06/2011,3
26/06/2011,1
27/06/2011,2
28/06/2011,1
29/06/2011,1
30/06/2011,0
1/07/2011,1
2/07/2011,2
3/07/2011,0
4/07/2011,3
5/07/2011,1
6/07/2011,0
7/07/2011,1
8/07/2011,1
9/07/2011,3
10/07/2011,0
11/07/2011,2
12/07/2011,3
13/07/2011,2
14/07/2011,1
15/07/2011,1
16/07/2011,0
17/07/2011,12
18/07/2011,0
19/07/2011,2
20/07/2011,0
21/07/2011,2
22/07/2011,2
23/07/2011,3
24/07/2011,0
25/07/2011,3
26/07/2011,1
27/07/2011,0
28/07/2011,0
29/07/2011,37
30/07/2011,1
31/07/2011,2
1/08/2011,6
2/08/2011,2
3/08/2011,0
4/08/2011,6
5/08/2011,3
6/08/2011,1
7/08/2011,0
8/08/2011,1
9/08/2011,4
10/08/2011,1
11/08/2011,3
12/08/2011,2
13/08/2011,2
14/08/2011,0
15/08/2011,1
16/08/2011,0
17/08/2011,0
18/08/2011,2
19/08/2011,0
20/08/2011,2
21/08/2011,0
22/08/2011,0
23/08/2011,0
24/08/2011,1
25/08/2011,1
26/08/2011,3
27/08/2011,2
28/08/2011,1
29/08/2011,1
30/08/2011,2
31/08/2011,3
1/09/2011,1
2/09/2011,2
3/09/2011,0
4/09/2011,0
5/09/2011,3
6/09/2011,1
7/09/2011,3
8/09/2011,14
9/09/2011,2
10/09/2011,1
11/09/2011,0
12/09/2011,4
13/09/2011,2
14/09/2011,1
15/09/2011,1
16/09/2011,3
17/09/2011,3
18/09/2011,1
19/09/2011,7
20/09/2011,4
21/09/2011,3
22/09/2011,0
23/09/2011,2
24/09/2011,2
25/09/2011,1
26/09/2011,4
27/09/2011,5
28/09/2011,7
29/09/2011,3
30/09/2011,3
1/10/2011,3
2/10/2011,0
3/10/2011,1
4/10/2011,10
5/10/2011,4
6/10/2011,2
7/10/2011,2
8/10/2011,1
9/10/2011,1
10/10/2011,2
11/10/2011,4
12/10/2011,2
13/10/2011,3
14/10/2011,3
15/10/2011,1
16/10/2011,2
17/10/2011,1
18/10/2011,2
19/10/2011,1
20/10/2011,10
21/10/2011,7
22/10/2011,1
23/10/2011,0
24/10/2011,2
25/10/2011,2
26/10/2011,7
27/10/2011,3
28/10/2011,2
29/10/2011,2
30/10/2011,0
31/10/2011,1
1/11/2011,1
2/11/2011,2
3/11/2011,4
4/11/2011,2
5/11/2011,3
6/11/2011,2
7/11/2011,5
8/11/2011,2
9/11/2011,4
10/11/2011,6
11/11/2011,3
12/11/2011,2
13/11/2011,0
14/11/2011,1
15/11/2011,1
16/11/2011,2
17/11/2011,1
18/11/2011,2
19/11/2011,1
20/11/2011,2
21/11/2011,1
22/11/2011,1
23/11/2011,3
24/11/2011,2
25/11/2011,1
26/11/2011,2
27/11/2011,1
28/11/2011,1
29/11/2011,2
30/11/2011,7
1/12/2011,1
2/12/2011,3
3/12/2011,1
4/12/2011,1
5/12/2011,1
6/12/2011,14
7/12/2011,3
8/12/2011,2
9/12/2011,2
10/12/2011,1
11/12/2011,1
12/12/2011,6
13/12/2011,1
14/12/2011,6
15/12/2011,2
16/12/2011,4
17/12/2011,1
18/12/2011,2
19/12/2011,1
20/12/2011,1
21/12/2011,3
22/12/2011,5
23/12/2011,1
24/12/2011,2
25/12/2011,1
26/12/2011,1
27/12/2011,2
28/12/2011,3
29/12/2011,1
30/12/2011,3
31/12/2011,4
1/01/2012,0
2/01/2012,4
3/01/2012,4
4/01/2012,8
5/01/2012,3
6/01/2012,4
7/01/2012,4
8/01/2012,2
9/01/2012,1
10/01/2012,1
11/01/2012,3
12/01/2012,1
13/01/2012,2
14/01/2012,2
15/01/2012,1
16/01/2012,5
17/01/2012,2
18/01/2012,3
19/01/2012,4
20/01/2012,4
21/01/2012,2
22/01/2012,4
23/01/2012,3
24/01/2012,39
25/01/2012,2
26/01/2012,0
27/01/2012,4
28/01/2012,1
29/01/2012,1
30/01/2012,2
31/01/2012,3
1/02/2012,5
2/02/2012,4
3/02/2012,7
4/02/2012,2
5/02/2012,1
6/02/2012,4
7/02/2012,4
8/02/2012,2
9/02/2012,4
10/02/2012,9
11/02/2012,3
12/02/2012,1
13/02/2012,4
14/02/2012,4
15/02/2012,9
16/02/2012,8
17/02/2012,8
18/02/2012,2
19/02/2012,0
20/02/2012,4
21/02/2012,3
22/02/2012,5
23/02/2012,9
24/02/2012,1
25/02/2012,3
26/02/2012,0
27/02/2012,4
28/02/2012,5
29/02/2012,4
1/03/2012,4
2/03/2012,6
3/03/2012,4
4/03/2012,2
5/03/2012,5
6/03/2012,4
7/03/2012,3
8/03/2012,6
9/03/2012,3
10/03/2012,3
11/03/2012,4
12/03/2012,4
13/03/2012,3
14/03/2012,6
15/03/2012,11
16/03/2012,7
17/03/2012,4
18/03/2012,2
19/03/2012,5
20/03/2012,5
21/03/2012,5
22/03/2012,5
23/03/2012,10
24/03/2012,3
25/03/2012,5
26/03/2012,6
27/03/2012,3
28/03/2012,3
29/03/2012,5
30/03/2012,3
31/03/2012,6
1/04/2012,3
2/04/2012,3
3/04/2012,10
4/04/2012,6
5/04/2012,15
6/04/2012,10
7/04/2012,3
8/04/2012,1
9/04/2012,5
10/04/2012,5
11/04/2012,6
12/04/2012,3
13/04/2012,2
14/04/2012,3
15/04/2012,1
16/04/2012,7
17/04/2012,5
18/04/2012,3
19/04/2012,5
20/04/2012,5
21/04/2012,1
22/04/2012,3
23/04/2012,5
24/04/2012,8
25/04/2012,14
26/04/2012,2
27/04/2012,4
28/04/2012,3
29/04/2012,4
30/04/2012,7
1/05/2012,5
2/05/2012,4
3/05/2012,7
4/05/2012,9
5/05/2012,36
6/05/2012,3
7/05/2012,4
8/05/2012,9
9/05/2012,6
10/05/2012,4
11/05/2012,6
12/05/2012,3
13/05/2012,5
14/05/2012,11
15/05/2012,6
16/05/2012,8
17/05/2012,5
18/05/2012,4
19/05/2012,3
20/05/2012,2
21/05/2012,10
22/05/2012,6
23/05/2012,5
24/05/2012,6
25/05/2012,7
26/05/2012,2
27/05/2012,2
28/05/2012,1
29/05/2012,3
30/05/2012,3
31/05/2012,11
1/06/2012,2
2/06/2012,3
3/06/2012,2
4/06/2012,8
5/06/2012,10
6/06/2012,8
7/06/2012,11
8/06/2012,6
9/06/2012,4
10/06/2012,4
11/06/2012,8
12/06/2012,6
13/06/2012,11
14/06/2012,17
15/06/2012,16
16/06/2012,1
17/06/2012,3
18/06/2012,6
19/06/2012,5
20/06/2012,4
21/06/2012,7
22/06/2012,6
23/06/2012,8
24/06/2012,4
25/06/2012,7
26/06/2012,8
27/06/2012,4
28/06/2012,14
29/06/2012,7
30/06/2012,8
1/07/2012,1
2/07/2012,5
3/07/2012,11
4/07/2012,2
5/07/2012,9
6/07/2012,23
7/07/2012,3
8/07/2012,1
9/07/2012,8
10/07/2012,12
11/07/2012,6
12/07/2012,8
13/07/2012,3
14/07/2012,6
15/07/2012,2
16/07/2012,15
17/07/2012,7
18/07/2012,8
19/07/2012,13
20/07/2012,0
21/07/2012,0
22/07/2012,0
23/07/2012,10
24/07/2012,7
25/07/2012,11
26/07/2012,3
27/07/2012,5
28/07/2012,6
29/07/2012,5
30/07/2012,4
31/07/2012,5
1/08/2012,12
2/08/2012,5
3/08/2012,8
4/08/2012,8
5/08/2012,3
6/08/2012,7
7/08/2012,4
8/08/2012,17
9/08/2012,13
10/08/2012,5
11/08/2012,14
12/08/2012,9
13/08/2012,7
14/08/2012,10
15/08/2012,18
16/08/2012,4
17/08/2012,7
18/08/2012,4
19/08/2012,3
20/08/2012,12
21/08/2012,10
22/08/2012,11
23/08/2012,7
24/08/2012,8
25/08/2012,4
26/08/2012,3
27/08/2012,5
28/08/2012,12
29/08/2012,9
30/08/2012,11
31/08/2012,7
1/09/2012,13
2/09/2012,2
3/09/2012,11
4/09/2012,17
5/09/2012,16
6/09/2012,36
7/09/2012,6
8/09/2012,7
