date,frequency
21/12/2017,5
22/12/2017,11
23/12/2017,5
24/12/2017,3
25/12/2017,4
26/12/2017,3
27/12/2017,2
28/12/2017,7
29/12/2017,4
30/12/2017,6
31/12/2017,9
1/01/2018,3
2/01/2018,13
3/01/2018,4
4/01/2018,10
5/01/2018,6
6/01/2018,7
7/01/2018,5
8/01/2018,7
9/01/2018,4
10/01/2018,10
11/01/2018,8
12/01/2018,14
13/01/2018,6
14/01/2018,6
15/01/2018,3
16/01/2018,9
17/01/2018,5
18/01/2018,12
19/01/2018,6
20/01/2018,8
21/01/2018,3
22/01/2018,4
23/01/2018,6
24/01/2018,5
25/01/2018,4
26/01/2018,7
27/01/2018,3
28/01/2018,4
29/01/2018,1
30/01/2018,0
31/01/2018,1
1/02/2018,3
2/02/2018,6
3/02/2018,2
4/02/2018,4
5/02/2018,7
6/02/2018,5
7/02/2018,7
8/02/2018,5
9/02/2018,4
10/02/2018,9
11/02/2018,4
12/02/2018,3
13/02/2018,2
14/02/2018,4
15/02/2018,6
16/02/2018,3
17/02/2018,8
18/02/2018,11
19/02/2018,3
20/02/2018,13
21/02/2018,8
22/02/2018,10
23/02/2018,10
24/02/2018,9
25/02/2018,2
26/02/2018,0
27/02/2018,8
28/02/2018,10
1/03/2018,6
2/03/2018,11
3/03/2018,4
4/03/2018,1
5/03/2018,6
6/03/2018,7
7/03/2018,6
8/03/2018,5
9/03/2018,5
10/03/2018,11
11/03/2018,6
12/03/2018,6
13/03/2018,8
14/03/2018,10
15/03/2018,5
16/03/2018,4
17/03/2018,4
18/03/2018,4
19/03/2018,2
20/03/2018,2
21/03/2018,7
22/03/2018,7
23/03/2018,6
24/03/2018,1
25/03/2018,7
26/03/2018,4
27/03/2018,2
28/03/2018,9
29/03/2018,4
30/03/2018,1
31/03/2018,3
1/04/2018,4
2/04/2018,9
3/04/2018,13
4/04/2018,6
5/04/2018,4
6/04/2018,6
7/04/2018,6
8/04/2018,8
9/04/2018,4
10/04/2018,6
11/04/2018,10
12/04/2018,10
13/04/2018,6
14/04/2018,3
15/04/2018,8
16/04/2018,2
17/04/2018,10
18/04/2018,12
19/04/2018,13
20/04/2018,9
21/04/2018,17
22/04/2018,8
23/04/2018,4
24/04/2018,8
25/04/2018,6
26/04/2018,3
27/04/2018,9
28/04/2018,9
29/04/2018,3
30/04/2018,10
1/05/2018,7
2/05/2018,7
3/05/2018,9
4/05/2018,10
5/05/2018,4
6/05/2018,0
7/05/2018,11
8/05/2018,5
9/05/2018,8
10/05/2018,5
11/05/2018,5
12/05/2018,3
13/05/2018,4
14/05/2018,7
15/05/2018,7
16/05/2018,10
17/05/2018,10
18/05/2018,10
19/05/2018,4
20/05/2018,8
21/05/2018,10
22/05/2018,2
23/05/2018,17
24/05/2018,10
25/05/2018,13
26/05/2018,10
27/05/2018,6
28/05/2018,10
29/05/2018,7
30/05/2018,10
